Element,Incentive 1,Incentive 2,Incentive 3,Incentive 4,Incentive 5,Incentive 6,Incentive 7,Incentive 8,Incentive 9,Incentive 10,Incentive 11,Incentive 12,Incentive 13,Incentive 14,Incentive 15,Incentive 16,Incentive 17,Incentive 18,Incentive 19,Incentive 20,Incentive 21,Incentive 22,Incentive 23,Incentive 24
0,-1.726832494,-1.384584405,-0.024508275,-0.063958973,-1.23E-13,-1.726832494,1.20E-11,1.20E-11,-0.381335184,-0.049386636,-0.105795108,-0.169801901,-0.663737019,-0.329244239,-0.017102634,-0.75265779,-0.03998473,-0.549992404,-0.000881626,-0.997610043,3.15E-12,3.15E-12,-0.395093086,-0.134431989
1,-0.193399465,-0.155068824,-0.003746771,-0.009611977,6.02E-12,-0.193399465,5.47E-12,5.47E-12,-0.195742258,-0.043594742,-0.092139678,-0.106104018,-0.239951193,-0.246568109,-0.015096896,-0.128547746,-0.035295459,-0.200203729,-0.000778232,-0.779830264,-1.55E-12,-1.55E-12,-0.260188719,-0.320512519
2,-0.392876545,-0.315010714,-0.008026735,-0.020815172,1.55E-14,-0.392876545,2.66E-12,2.66E-12,-0.150465475,-0.04450086,-0.087596031,-0.09071958,-0.182149262,-0.1976636,-0.015410686,-0.261135129,-0.036029077,-0.151129186,-0.000794407,-0.787076595,6.53E-13,6.53E-13,-0.1976636,-0.281570762
3,-0.324926377,-0.260527872,-0.009280897,-0.025301778,-1.10E-11,-0.324926377,-1.31E-11,-1.31E-11,-0.08557899,-0.040282317,-0.048109448,-0.048109448,-0.107157837,-0.117718636,-0.013063479,-0.215970367,-0.032613632,-0.090064806,-0.0007191,-0.534531356,-1.07E-11,-1.07E-11,-0.117718636,-0.444074273
4,-0.414937345,-0.332699193,-0.007317553,-0.019484231,7.28E-14,-0.414937345,6.08E-13,6.08E-13,-0.27327576,-0.044821919,-0.09601666,-0.122417684,-0.423780924,-0.298812795,-0.015521869,-0.275798386,-0.036289014,-0.354695407,-0.000800139,-0.886993492,-3.83E-13,-3.83E-13,-0.353405674,-0.178830962
5,-0.117194944,-0.093967592,-0.004241908,-0.011240037,-4.22E-13,-0.117194944,2.09E-13,2.09E-13,-0.084580076,-0.045272132,-0.043107165,-0.040863275,-0.116837297,-0.130273737,-0.009491847,-0.077896523,-0.036287113,-0.101296954,-0.000654314,-0.344044594,-8.73E-13,-8.73E-13,-0.130273737,-0.521217711
6,-0.636176638,-0.510090154,-0.015968384,-0.044592485,-6.97E-12,-0.636176638,-5.79E-12,-5.79E-12,-0.169221053,-0.044577495,-0.090764818,-0.082224926,-0.227397184,-0.237019954,-0.015437225,-0.373623021,-0.036091122,-0.190866177,-0.000795775,-0.740472368,-6.97E-12,-6.97E-12,-0.247091654,-0.380888953
7,-0.461822412,-0.370291914,-0.008671727,-0.025168889,-7.02E-14,-0.461822412,-7.31E-13,-7.31E-13,-0.141851076,-0.039734877,-0.080000154,-0.085929499,-0.171681407,-0.186297062,-0.013760222,-0.306961707,-0.03217041,-0.142328958,-0.000709327,-0.752508256,7.82E-12,7.82E-12,-0.186297062,-0.275887624
8,-0.282444357,-0.226465539,-0.005424245,-0.013758433,-3.77E-13,-0.282444357,-3.42E-13,-3.42E-13,-0.125531838,-0.04165276,-0.07596838,-0.07670049,-0.152172332,-0.165253877,-0.014424387,-0.187733639,-0.033723179,-0.125900673,-0.000743565,-0.772702744,2.49E-14,2.49E-14,-0.165253877,-0.278869619
9,-0.51568065,-0.413475765,-0.007195048,-0.019713263,-5.28E-12,-0.51568065,-9.50E-12,-9.50E-12,-0.247366479,-0.040409526,-0.086564516,-0.142153008,-0.294095111,-0.265451742,-0.013993854,-0.34275992,-0.032716624,-0.242562164,-0.000721371,-0.816272434,-8.94E-12,-8.94E-12,-0.301390937,-0.101725991
10,-0.27356131,-0.21934306,-0.007758417,-0.021007992,2.05E-13,-0.27356131,-4.19E-13,-4.19E-13,-0.136373925,-0.047358105,-0.080363858,-0.071332674,-0.176077871,-0.192458498,-0.016400152,-0.181829302,-0.038342378,-0.148734833,-0.000845414,-0.632736357,1.52E-11,1.52E-11,-0.192458498,-0.448800098
11,-0.262347863,-0.206958588,-0.008514472,-0.023244824,-3.08E-12,-0.262347863,-3.17E-12,-3.17E-12,-0.045695019,-0.037011256,-0.022960966,-0.022960966,-0.059512085,-0.066296671,-0.008123901,-0.168634593,-0.030373175,-0.050510284,-0.000749981,-0.418202462,-3.17E-12,-3.17E-12,-0.066296671,-0.508464021
12,-0.651338905,-0.522247348,-0.016876702,-0.044941343,-1.65E-13,-0.651338905,2.26E-12,2.26E-12,-0.128516209,-0.04290137,-0.074917904,-0.070277684,-0.161124961,-0.175972531,-0.014856781,-0.352069863,-0.034734087,-0.134954505,-0.000765854,-0.644069019,2.23E-12,2.23E-12,-0.175972531,-0.428914283
13,-0.134911839,-0.108173103,-0.00344632,-0.009130307,-1.19E-12,-0.134911839,7.23E-12,7.23E-12,-0.157189833,-0.048425985,-0.089291533,-0.081957223,-0.202648958,-0.221215011,-0.01676996,-0.089672496,-0.039206961,-0.171259066,-0.000864477,-0.665624868,7.58E-12,7.58E-12,-0.221215011,-0.46105109
14,-1.567202829,-1.256592404,-0.023925466,-0.064144191,1.92E-11,-1.567202829,2.50E-11,2.50E-11,-0.318219806,-0.046675791,-0.099987988,-0.141697725,-0.495432285,-0.311171938,-0.016163866,-0.628084231,-0.037789958,-0.410223758,-0.000833233,-0.942850972,1.81E-11,1.81E-11,-0.373406326,-0.111758485
15,-0.60684597,-0.486572652,-0.012788006,-0.032717767,2.20E-12,-0.60684597,3.20E-12,3.20E-12,-0.2264326,-0.051646915,-0.109913523,-0.112746274,-0.288542707,-0.295174285,-0.017885371,-0.403355208,-0.041814712,-0.240947828,-0.000921975,-0.928655159,-8.63E-12,-8.63E-12,-0.312621493,-0.356727504
16,-0.636370972,-0.510245971,-0.015996309,-0.040688686,-1.28E-12,-0.636370972,4.45E-12,4.45E-12,-0.100751744,-0.044433744,-0.060177721,-0.060177721,-0.123289957,-0.134363974,-0.015387444,-0.383682778,-0.035974738,-0.102286636,-0.000793209,-0.729634782,1.50E-11,1.50E-11,-0.134363974,-0.350548301
